Years,x5_hr,rank,Probability,Frequency
"2016-2017",5.12,1,6.66666666666667,15
"2019-2020",4.66,2,13.3333333333333,7.5
"2013-2014",3.62,3,20,5
"2009-2010",3.58,4,26.6666666666667,3.75
"2015-2016",2.62,5,33.3333333333333,3
"2018-2019",2.44,6,40,2.5
"2021-2022",1.64,7,46.6666666666667,2.14285714285714
"2017-2018",1.48,8,53.3333333333333,1.875
"2014-2015",1.16,9,60,1.66666666666667
"2007-2008",1,10,66.6666666666667,1.5
"2020-2021",0.86,11,73.3333333333333,1.36363636363636
"2012-2013",0.66,12,80,1.25
"2010-2011",0.3,13,86.6666666666667,1.15384615384615
"2008-2009",0.24,14,93.3333333333333,1.07142857142857
