Years,x1_5_hr,rank,Probability,Frequency
"2010-2011",15.5333333333333,1,5.88235294117647,17
"2020-2021",15.1333333333333,2,11.7647058823529,8.5
"2009-2010",14.7333333333333,3,17.6470588235294,5.66666666666667
"2004-2005",14.4,4,23.5294117647059,4.25
"2011-2012",14.4,5,29.4117647058824,3.4
"2014-2015",14.3333333333333,6,35.2941176470588,2.83333333333333
"2016-2017",13.9333333333333,7,41.1764705882353,2.42857142857143
"2015-2016",13.1333333333333,8,47.0588235294118,2.125
"2008-2009",12.8,9,52.9411764705882,1.88888888888889
"2007-2008",11.7333333333333,10,58.8235294117647,1.7
"2017-2018",10.2666666666667,11,64.7058823529412,1.54545454545455
"2003-2004",9.73333333333333,12,70.5882352941177,1.41666666666667
"2012-2013",9.73333333333333,13,76.4705882352941,1.30769230769231
"2013-2014",9.53333333333333,14,82.3529411764706,1.21428571428571
"2005-2006",9.4,15,88.2352941176471,1.13333333333333
"2021-2022",8.86666666666667,16,94.1176470588235,1.0625
